score,question,slug,condition_id,price_yes,price_no,logit_yes,logit_no,days_to_expiry,end_date,volume_24h,volume_total,liquidity,spread,best_bid,best_ask,num_outcomes,neg_risk,token_id_yes,token_id_no
18.064,Will Phạm Minh Chính be the next Prime Minister of Vietnam?,will-phm-minh-chnh-be-the-next-prime-minister-of-vietnam,0x4a00aea8c3beebfbd78428ed9794389a6064031b3b4498ecee8f1e2567960c52,0.01,0.99,-4.59511985013459,4.595119850134589,1,2026-01-25T00:00:00Z,104795.78191499999,213852.653018,32881.74351,0.002,0.009,0.011,2,True,28282613628199947618108198992841847089900837455551648546884564075036732056803,25647280398479894832229021619345962565230978912320531311978302103412384666485
10.66,Will Solana reach $170 in January?,will-solana-reach-170-in-january-2026,0x3ae1eec04611d052d070d2f3cee548a742ed6c7cc020096ab9321cf2c866a841,0.0105,0.9895,-4.545824507879143,4.545824507879147,8,2026-02-01T05:00:00Z,32787.035911000006,296267.059001,41283.20907,0.001,0.01,0.011,2,False,101986759454759099657463285553850806961701895854512599871215964166389317317896,93309515897434117112646357740008693588030442589454587867906092528033771269221
14.869,"Will Elon Musk post 620-639 tweets from January 20 to January 27, 2026?",elon-musk-of-tweets-january-20-january-27-620-639,0x910257d247d35e63690336a0f4d02a3e4f2107f1d20f8de0c60c542cab6acc01,0.0105,0.9895,-4.545824507879143,4.545824507879147,4,2026-01-27T17:00:00Z,40133.68555400001,182802.3868,20234.10998,0.001,0.01,0.011,2,True,95505569578156004807305835163747039999248366014852971108131138341260525455991,53536701736140703500601357789195011120392401710930346672176166502050216497655
12.359,"Will Bitcoin dip to $82,000 January 19-25?",will-bitcoin-dip-to-82k-january-19-25,0xba1d1ce83a72f150fddf9a1b1599acc3eeeba0d2f09645f5eb22081c451589cc,0.0105,0.9895,-4.545824507879143,4.545824507879147,2,2026-01-26T05:00:00Z,15768.774455999997,101401.371177,18201.19745,0.003,0.009,0.012,2,False,16096886608187516963124024125680567643544456545293734044892284518678379554730,62148057207946726443926716805360685790887177630784293777547569918963829586242
15.462,"Will Ethereum reach $3,300 January 19-25?",will-ethereum-reach-3300-january-19-25,0x7adc54a9d6d907370d29c3fa104cb70470145edc16393ac6704d4971774b9568,0.0105,0.9895,-4.545824507879143,4.545824507879147,2,2026-01-26T05:00:00Z,39473.499433000005,112955.697545,15073.01391,0.003,0.009,0.012,2,False,54380704780864930209785888315548162305118969049826902166953910487849340023525,6405878399894347998877718009955123225262599115556169831352289040440697231982
20.263,Will Alexander Noren win the 2026 The American Express tournament?,will-alexander-noren-win-the-2026-the-american-express-tournament-747,0xbb8479d5a3412f379dddeb097324f19f7d2b59bc5e3ce85d8c01343f44be345a,0.0105,0.9895,-4.545824507879143,4.545824507879147,2,2026-01-25T23:55:00Z,13043.113680999997,13245.003681,3881.31284,0.001,0.01,0.011,2,True,68114447550003627821322992275977116530654848457193084484254070179052297917294,25138566488153830837401094152881587149622034682498620931299756262593461047215
6.766,Australian Open Men's: Eliot Spizzirri vs Jannik Sinner,atp-spizzir-sinner-2026-01-24,0xfa8750906a1e4d018a0f8e0a6cbac21442943280751b9e5887b8daed1918ebf0,0.0105,0.9895,-4.545824507879143,4.545824507879147,14,2026-02-07T00:00:00Z,23524.547995,95747.600898,32283.43511,0.001,0.01,0.011,2,False,96904462233437546206305294349124565431681784654198861086973239825858534281060,29380310224996992529208533195082143660778176643535521403760351787968805996119
9.783,Will NVIDIA be the second-largest company in the world by market cap on January 31?,will-nvidia-be-the-second-largest-company-in-the-world-by-market-cap-on-january-31,0x41b7d0eb6368186ccd57768854c119031e0d966156fdc58455a595530337550d,0.011,0.989,-4.498799058824342,4.498799058824341,7,2026-01-31T00:00:00Z,15196.184607999998,346010.693458,16613.23842,0.002,0.01,0.012,2,True,75452212826930355581366535205596293663252473614596740292874629186510897088229,83426317375848536208066514750653920947944563662074849269366405694426378364277
12.26,"Will Ethereum reach $3,800 in January?",will-ethereum-reach-3800-in-january-2026,0x8de57c5c6cc39bb852bc85b469ef69ee2655ce5c9270af32b73a4c5ae80a5773,0.011,0.989,-4.498799058824342,4.498799058824341,8,2026-02-01T05:00:00Z,74369.233839,775588.229395,45144.6817,0.002,0.01,0.012,2,False,27619438287073342248209617640073762062912183207270297085955391533365301068308,57999095872657048971077495903504201783191068872149748137801461001965668315889
7.99,Will the Fed decrease interest rates by 50+ bps after the March 2026 meeting?,will-the-fed-decrease-interest-rates-by-50-bps-after-the-march-2026-meeting,0xdeb615a52cd114e5aa27d8344ae506a72bea81f6ed13f5915f050b615a193c20,0.0115,0.9885,-4.4538416072414675,4.453841607241471,53,2026-03-18T00:00:00Z,157816.71769799993,1126626.623734,162683.97339,0.001,0.011,0.012,2,True,46553455570564517989191023458705371521436514261892866503067981558938998232024,48458075019957098166340475646923389496510427632693703161736892736757168972646
